Subject,Date,Order,start1,end1,start2,end2,start3,end3,start4,end4,A,B,C,D,E,F,G,H
1118,6/24/2016,fgad,11:22,11:30,11:31,11:46,11:46,11:56,11:57,12:07,"a: 0 0zy 1
b: 1 0zx 1
c",,,"a: 2 2 0 0
c: 2 0 2 1
c: 3 3 2 2
e",,"a: -1 -2 0 0.0
a: -1 -1 0 0.0
a: -1 0 0 0.0
b: c
d","a: 1 0
b: 32
c: 1 1
d",
1155,6/22/2016,bedg,12:03,12:03,12:12,12:16,12:16,12:21,12:21,12:24,,"a: 0 z 1
b: 1 ? 1
a: 0 y 1
b: 1 z 1",,"a: 2 2 0 0
c: 2 0 2 1
d: 2
e","a: -1 -2 0 0
b:
!",,"a: 1 0
!",
1236,6/13/2016,cfah,10:35,10:48,10:48,11:04,11:05,11:09,11:10,11:24,"a: 0 bczy 1
b: 0 abyz 1
c",,"a: 2 2 0 0
a: 3 3 0 2
c",,,"a: -1 -2 0 0.0
a: -1 -1 0 0.0
b: ?
b: c
d",,"a: 1 0
b: 1 1
a: 0 0
a: 1 0
b: 1 1
X"
1243,7/7/2016,chaf,15:09,15:24,15:25,15:39,15:40,15:43,15:44,15:47,c,,"a: 2 2 0 0
a: 3 3 2 0
c",,,"a: -1 -2 0 0.0
b: c
d",,"a: 1 0
a: 1 1
a: 0 0
a: 1 0
a: 1 1
a: 0 0
a: 1 0
a: 1 1
a: 0 0
a: 1 0"
2024,6/11/2016,acfh,17:02,17:05,17:05,17:15,17:16,17:19,17:20,17:34,"a: 0 bzy 1
b: 1 abzy 1
c",,"a: 2 2 0 0
a: 3 3 0 1
c",,,"a: -1 -2 0 0
b: c
d",,"a: 1 0
b: 1 1
a: 0 0
2: 0
4: 0
d
"
2250,7/6/2016,bfcg,1:36,1:38,1:39,1:52,1:52,2:11,2:12,2:29,,c,"a: 2 2 0 0
a: 3 3 0 1
c",,,"a: -1 -2 0 0.0
a: -1 -1 0 0.0
a: -1 0 0 0.0
b: c
c: -2 0 0 1.0 1
b: b
c: -2 -1 0 0.0 0
b: a
d","a: 1 0
c: 1 1
a: 0 0
b: 1 0
b: 0
d",
2360,6/13/2016,cgbf,17:08,17:36,17:37,17:47,17:48,17:58,18:00,18:09,,"a: 0 zy 1
b: 1 zy 1
a: 0 zz 1
b: 1 zz 1
c","a: 1 2 0 0
b: 1
a: 2 3 0 1
b: 2
c",,,"a: -1 -2 0 0.0
a: -2 -1 -2 0.0
!","a: 1 0
a: 0 0
b: 16
c: 1 1
d",
2413,6/24/2016,bhec,12:42,12:52,12:52,13:22,13:22,13:32,13:32,13:49,,!,"a: 2 2 0 0
a: 3 3 0 1
c",,"a: -1 -2 0 0.0
a:
!",,,"a: 1 0
b: 1 1
a: 0 0
a: 1 0
b: 1 1
!"
2982,6/27/2016,bgcf,12:31,12:40,12:40,12:53,12:55,13:01,13:02,13:03,,"a: 0 azy 1
b: 1 azy 1
a: 0 bzy 1
b: 1 bzy 1
c","a: 2 2 0 0
a: 2 0 2 2
b: 2
c",,,"a: -1 -2 0 0
b: c
d","a: 1 0
a: 0 0
c: 1 0
d",
3339,6/20/2016,ahde,3:00,3:07,3:08,3:28,3:28,3:31,3:31,3:34,"a: 0 ? 1
b: 1 ? 1
c",,,"a: 2 2 0 0
c: 2 0 2 1
d: 2
e",X,,,"a: 1 0
b: 1 1
a: 0 0
a: 1 0
b: 1 1
a: 0 0
a: 1 0
b: 1 1
a: 0 0
a: 1 0"
3483,6/28/2016,fcgb,14:35,14:38,14:39,14:46,14:46,15:10,15:10,15:17,,"a: 0 0zy 1
b: 1 0zy 1
a: 0 1zy 1
b: 1 1zy 1
c","a: 2 2 0 0
c",,,"a: -1 -2 0 0.0
b: c
d","a: 1 0
b: 32
c: 0 1
d",
3487,6/30/2016,adhe,11:12,11:26,11:26,11:54,11:55,12:06,12:06,12:10,"a: 0 ? 1
b: 0 ? 1
c
!",,,"a: 2 2 0 0
c: 1 0 4 1
d: 2
a: 3 3 0 2
e","a: -1 -2 0 ?
b: c
d",,,"a: 1 0 
b: 1 1
a: 0 0
4: 32 0
d"
3878,7/7/2016,hacf,8:50,9:26,9:30,10:15,10:15,10:45,10:45,11:10,"a: 0 zy 1
b: 1 zy 1
a: 0 y 1
b: 1 y 1
c",,"a: 2 2 0 0
a: 2 0 1 1
b: 2
a: 3 3 0 2
a: 3 0 1 1
b: 3
a: 3 0 1 2
b: 3
c
",,,"a: -1 -2 0 0.0
a: -1 -1 0 0.0
a: -1 0 0 0.0
b: c
c: -2 0 0 1 1
b: b
b: a
d",,"a: 1 0
b: 1 1
a: 0 0
2: 64
4: 32
d"
3889,6/13/2016,hade,12:02,12:14,12:15,12:21,12:21,12:34,12:34,12:41,"a: 0 abzy 1
b: 0 zy 1
c
a: 0 0 1
b: 0 0 1
c",,,"a: 2 2 0 0 
c: 2 0 2 1
a: 3 3 0 1
c: 3 0 3 1","a: -2 -2 0 ?
b: 0
c: -3 -2 0 ? ab",,,"a: 1 0
b: 1 1
4: ?"
